,サマナー,ぷーちゃん♪,1489,5
582位,,霊術師,FineWeather,1013,5
583位,,リトルウィッチ,VortexRing,1013,5
584位,,アーチャー,Manaco,1013,5
585位,,ランサー,知識にしたい,1013,5
586位,,武道家,Bーふ,1013,5
587位,,武道家,シンメ,1013,5
588位,,シーフ,きしえる,1013,5
589位,,ウルフマン,Crewds,1013,5
590位,,剣士,ﾌﾞﾗｯｸﾅｲﾄ,1013,5
591位,,霊術師,水禺刀,1012,5
592位,,アーチャー,※Ading※,1012,5
593位,,アーチャー,黒梅酒,1012,5
594位,,ランサー,☆渡月橋☆,1012,5
595位,,剣士,kekeⅱ,1012,5
596位,,追放天使,Rasputin,1011,5
597位,,ビショップ,天の使者,1011,5
598位,,黒魔術師,準備運動で骨折,1010,5
599位,,光奏師,RosaiDorfman,1010,5
600位,,霊術師,ｶﾄﾗｰ･ﾍﾞｹｯﾄ,1010,5
601位,,ランサー,EG０IST,1010,5
602位,,武道家,ねこくろ,1010,5
603位,,ビショップ,DEEP☆BLUE_粋,1010,5
604位,,リトルウィッチ,京子たん,1009,5
605位,,ランサー,0nak4Su1ta,1009,5
606位,,アルケミスト,じーす,1008,5
607位,,アルケミスト,Vitamin3000,1008,5
608位,,黒魔術師,ねこじゅつし,1008,5
609位,,闘士,れじぇっちょ,1008,5
610位,,霊術師,○カマです。。,1008,5
611位,,ランサー,watta_alt,1008,5
612位,,武道家,tantan_07,1008,5
613位,,シーフ,ガンバードⅡ,1008,5
614位,,武道家,1901,1007,5
615位,,戦士,GrantKeeneth,1007,5
616位,,獣人,化石の記憶,1006,5
617位,,霊術師,雪奈。,1006,5
618位,,プリンセス,よもぎ姫,1006,5
619位,,ウィザード,Матрёшка,1006,5
620位,,ウィザード,け～む,1006,5
621位,,光奏師,つばまる。,1005,5
622位,,ランサー,凛さん,1005,5
623位,,武道家,∮したっぱ∮,1005,5
624位,,武道家,FASIAL,1005,5
625位,,ウィザード,トリプルぷるぷる,1005,5
626位,,ウィザード,呉竹鞘御杖刀,1005,5
627位,,戦士,☆桜咲♪♪,1005,5
628位,,光奏師,ささくれ痛い乃介,1005,3
629位,,光奏師,DTじゅーじん,1004,5
630位,,アーチャー,みころっく,1004,5
631位,,ウィザード,yuzkiha,1004,5
